wind,solar,hydro,other_renewables_including_bioenergy,year,region
272.3100058827549,60.87999893911183,696.9999909698963,113.98999589681625,2016,"North America"
300.36000278778374,83.88999878428876,745.8400107230991,109.03000379167497,2017,"North America"
324.6300137806684,100.91000064276159,730.1099858433008,125.2700028680265,2018,"North America"
353.15000398643315,121.16999925486743,710.8499967865646,122.38000261597335,2019,"North America"
401.1600017417222,151.71000116877258,713.3500130232424,109.61999618820846,2020,"North America"
439.0599894449115,185.84999644383788,674.8799960613251,102.25000190734863,2021,"North America"
0,0,37.94499969482422,3.36899995803833,1990,Oceania
0,0.004999999888241291,38.54799938201904,3.505000114440918,1991,Oceania
0.0010000000474974513,0.012000000104308128,37.035000801086426,3.4309999346733093,1992,Oceania
0.003000000142492354,0.014999999664723873,39.8799991607666,3.5529999136924744,1993,Oceania
0.0070000000996515155,0.017000000923871994,41.98699951171875,3.4329999685287476,1994,Oceania
0.008000000263564289,0.020999999716877937,43.16599941253662,3.507999897003174,1995,Oceania
0.015000000596046448,0.026000000536441803,42.1510009765625,3.5709999799728394,1996,Oceania
0.022000000812113285,0.03099999949336052,39.209999084472656,3.7139999866485596,1997,Oceania
0.03999999910593033,0.035999998450279236,41.117000579833984,4.166000008583069,1998,Oceania
0.0820000022649765,0.04100000113248825,39.20199966430664,4.442999958992004,1999,Oceania
0.18999999575316906,0.03999999910593033,42.32000130414963,4.4999999068677425,2000,Oceania
0.3599999938160181,0.03999999910593033,39.74999874457717,4.550000073388219,2001,Oceania
0.5300000105053186,0.05000000074505806,42.27000033482909,5.000000132247806,2002,Oceania
0.8499999940395355,0.05999999865889549,41.28999834135175,5.5600000489503145,2003,Oceania
1.0700000021606684,0.07000000029802322,44.36000018194318,6.599999891594052,2004,Oceania
1.5100000090897083,0.07999999821186066,40.0400000102818,8.410000311210752,2005,Oceania
2.360000042244792,0.09000000357627869,40.83000064268708,8.670000100508332,2006,Oceania
3.5899999011307955,0.10999999940395355,39.619999427348375,9.050000028684735,2007,Oceania
4.1999998558312654,0.12999999523162842,35.960000578314066,9.240000108256936,2008,Oceania
5.33999996073544,0.1599999964237213,37.62999987974763,8.870000200346112,2009,Oceania
6.750000176951289,0.38999998569488525,39.81999956443906,9.250000091269612,2010,Oceania
8.100000191479921,1.3999999854713678,43.600001115351915,9.400000181049109,2011,Oceania
9.119999712333083,2.34999992325902,38.779999636113644,9.720000177621841,2012,Oceania
10.040000019595027,3.510000018402934,43.070000080391765,10.160000029951334,2013,Oceania
12.53000003658235,4.060000227764249,44.3200000654906,10.989999737590551,2014,Oceania
13.910000160336494,5.089999979361892,39.54000039212406,11.710000488907099,2015,Oceania
14.589999733492732,6.3100000359117985,42.610000325366855,11.579999882727861,2016,Oceania
14.740000296384096,8.209999691694975,42.82000127248466,11.619999889284372,2017,Oceania
17.279999781399965,10.100000305101275,43.72000057250261,11.709999803453684,2018,Oceania
20.009999085217714,15.050000375136733,42.819999910891056,11.530000198632479,2019,Oceania
22.749999571591616,21.27000068128109,40.869999177753925,12.170000303536654,2020,Oceania
24.559999465942383,29.1200008392334,16.6299991607666,3.119999885559082,2021,Oceania
0,0,313.4599938392639,5.338999964296818,1990,"South America"
0,0,335.9749975204468,5.534999988973141,1991,"South America"
0,0,344.0770015716553,7.2469999343156815,1992,"South America"
0,0,368.7800030708313,7.339000202715397,1993,"South America"
0,0,390.3170008659363,7.8560000360012054,1994,"South America"
0,0,402.31499910354614,8.207999810576439,1995,"South America"
0.011999999871477485,0,417.38900995254517,9.474999815225601,1996,"South America"
0.01999999990221113,0,439.4369854927063,10.20500023663044,1997,"South America"
0.03799999970942736,0,448.8469948768616,9.788000121712685,1998,"South America"
0.038000000291503966,0,449.1259994506836,11.072000414133072,1999,"South America"
0.03999999910593033,0.009999999776482582,529.489984691143,8.599999839439988,2000,"South America"
0.09999999962747097,0.009999999776482582,495.7300138473511,9.590000247582793,2001,"South America"
0.1399999987334013,0.009999999776482582,519.2800129055977,11.069999873638153,2002,"South America"
0.14999999664723873,0.009999999776482582,541.6799998879433,12.820000175386667,2003,"South America"
0.18999999947845936,0.009999999776482582,562.8499994874,13.939999748021364,2004,"South America"
0.23000000230967999,0.009999999776482582,595.1799873709679,15.52999997511506,2005,"South America"
0.37999999336898327,0.009999999776482582,621.8400075435638,17.679999843239784,2006,"South America"
0.7599999848753214,0.009999999776482582,642.7599900364876,21.429999358952045,2007,"South America"
0.969999972730875,0.009999999776482582,645.1699855923653,24.539999846369028,2008,"South America"
1.46000000461936,0.009999999776482582,663.3999841809273,29.149999424815178,2009,"South America"
2.6500000786036253,0.009999999776482582,664.5200126171112,38.81000033207238,2010,"South America"
3.250000048428774,0.04999999888241291,707.0899904966354,40.15000079013407,2011,"South America"
6.490000180900097,0.1399999987334013,690.1500042676926,44.72999846935272,2012,"South America"
8.489999927580357,0.2700000014156103,676.4799833893776,51.78000111319125,2013,"South America"
15.510000111535192,0.8199999909847975,636.7500155568123,56.439998999238014,2014,"South America"
27.279998982325196,1.7100000120699406,636.929995983839,58.740000734105706,2015,"South America"
40.800001692026854,3.209999917075038,653.6500071883202,59.780000204220414,2016,"South America"
51.55999896302819,5.389999898150563,659.1500120162964,60.64999847114086,2017,"South America"
59.97000112012029,10.11999991349876,676.9499846100807,60.64000119268894,2018,"South America"
72.60000175610185,15.259999681264162,685.3599963784218,59.639999413862824,2019,"South America"
79.5199990645051,21.549999926239252,684.2300029397011,57.759998047724366,2020,"South America"
94.3899976350367,26.64999980479479,467.1999976634979,54.03000122308731,2021,"South America"
